postcode,Suburb,lat,lon,Region,Average_per_person,website
3148,CHADSTONE,-37.886372,145.082527,Inner Eastern Melbourne,202,"https://www.google.com/maps/place/Chadstone+Shopping+Centre/@-37.8862515,145.0807788,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad66a66054c293f:0xf0456760532d460!8m2!3d-37.8862515!4d145.0829675"
3149,MOUNT WAVERLEY,-37.875273,145.128398,Inner Eastern Melbourne,201,"https://www.google.com/maps/place/Mount+Waverley+VIC+3149/@-37.8823014,145.101584,12z/data=!4m5!3m4!1s0x6ad66b2665fa6e53:0x5045675218cdaf0!8m2!3d-37.877!4d145.131"
3150,GLEN WAVERLEY,-37.877631,145.166222,Inner Eastern Melbourne,202,"https://www.google.com/maps/place/Glen+Waverley+VIC+3150/@-37.8537194,145.1153154,13z/data=!4m5!3m4!1s0x6ad66bb67ebd66cb:0x5045675218cdb40!8m2!3d-37.8856521!4d145.165179"
3151,BURWOOD EAST,-37.858352,145.138553,Inner Eastern Melbourne,191,"https://www.google.com/maps/place/Burwood+East+VIC+3151/@-37.8537194,145.1153154,13z/data=!3m1!4b1!4m5!3m4!1s0x6ad63f79de7310b7:0x5045675218cdaa0!8m2!3d-37.852!4d145.15"
3152,WANTIRNA,-37.847915,145.228757,Outer Eastern Melbourne,186,"https://www.google.com/maps/place/Wantirna+VIC+3152/@-37.8462884,145.1927363,12z/data=!4m5!3m4!1s0x6ad63ea86374392d:0x5045675218cda40!8m2!3d-37.844!4d145.229"
3153,BAYSWATER,-37.84126,145.266725,Outer Eastern Melbourne,173,"https://www.google.com/maps/place/Bayswater+VIC+3153/@-37.8537959,145.2141311,12z/data=!4m5!3m4!1s0x6ad63b9b0b47a7bd:0x5045675218cd9e0!8m2!3d-37.843!4d145.268"
3155,BORONIA,-37.861504,145.275762,Outer Eastern Melbourne,178,"https://www.google.com/maps/place/Boronia+VIC+3155/@-37.8861538,145.2120391,12z/data=!4m5!3m4!1s0x6ad63b41d3e4ac3d:0x5045675218cd9f0!8m2!3d-37.862!4d145.286"
3156,FERNTREE GULLY,-37.883019,145.295404,Outer Eastern Melbourne,174,"https://www.google.com/maps/place/Ferntree+Gully+VIC+3156/@-37.8840122,144.991537,13z/data=!4m5!3m4!1s0x6ad63ced2679a4cd:0x5045675218cdbb0!8m2!3d-37.8862!4d145.2821"
3162,CAULFIELD,-37.880479,145.026806,Southern Melbourne,223,"https://www.google.com/maps/place/Caulfield+VIC+3162/@-37.8840122,144.991537,13z/data=!3m1!4b1!4m5!3m4!1s0x6ad6696cd1a408d7:0x5045675218cf900!8m2!3d-37.884!4d145.0266"
3163,CARNEGIE,-37.889336,145.058121,Southern Melbourne,218,"https://www.google.com/maps/place/Carnegie+VIC+3163/@-37.8963708,145.0517572,14z/data=!4m5!3m4!1s0x6ad6698e96878b6f:0x5045675218cdc40!8m2!3d-37.888!4d145.062"
